time,x,y,z
0.181,3.15598,-0.173464,1.63661
0.182,3.17335,0.0990539,1.65274
0.182,3.17192,-0.17373,1.64078
0.183,3.18928,0.0987869,1.65692
0.183,3.18785,-0.173997,1.64496
0.184,3.20521,0.0985196,1.66111
0.184,3.20377,-0.174264,1.64913
0.185,3.22112,0.098252,1.66528
0.185,3.21968,-0.174531,1.65329
0.186,3.23702,0.0979842,1.66946
0.186,3.23557,-0.174798,1.65746
0.187,3.25291,0.0977161,1.67363
0.187,3.25145,-0.175066,1.66162
0.188,3.26878,0.0974477,1.6778
0.188,3.26732,-0.175334,1.66578
0.189,3.28464,0.0971791,1.68197
0.189,3.28318,-0.175602,1.66994
0.19,3.30049,0.0969103,1.68613
0.19,3.29903,-0.17587,1.6741
0.191,3.31633,0.0966412,1.6903
0.191,3.31486,-0.176139,1.67825
0.192,3.33216,0.0963718,1.69446
0.192,3.33068,-0.176408,1.6824
0.193,3.34797,0.0961022,1.69862
0.193,3.34649,-0.176677,1.68655
0.194,3.36378,0.0958324,1.70277
0.194,3.36229,-0.176946,1.69069
0.195,3.37956,0.0955622,1.70692
0.195,3.37807,-0.177216,1.69484
0.196,3.39534,0.0952919,1.71107
0.196,3.39385,-0.177486,1.69898
0.197,3.41111,0.0950213,1.71522
0.197,3.40961,-0.177756,1.70311
0.198,3.42686,0.0947504,1.71936
0.198,3.42536,-0.178027,1.70725
0.199,3.4426,0.0944793,1.7235
0.199,3.44109,-0.178297,1.71138
0.2,3.45833,0.094208,1.72764
0.2,3.45682,-0.178568,1.71551
0.201,3.47405,0.0939364,1.73178
0.201,3.47253,-0.178839,1.71963
0.202,3.48976,0.0936646,1.73591
0.202,3.48823,-0.179111,1.72376
0.203,3.50545,0.0933925,1.74004
0.203,3.50392,-0.179382,1.72788
0.204,3.52113,0.0931202,1.74417
0.204,3.5196,-0.179654,1.73199
0.205,3.53681,0.0928476,1.74829
0.205,3.53526,-0.179926,1.73611
0.206,3.55246,0.0925748,1.75241
0.206,3.55092,-0.180198,1.74022
0.207,3.56811,0.0923018,1.75653
0.207,3.56656,-0.180471,1.74433
0.208,3.58375,0.0920285,1.76064
0.208,3.58219,-0.180744,1.74843
0.209,3.59937,0.0917549,1.76476
0.209,3.59781,-0.181017,1.75253
0.21,3.61498,0.0914812,1.76887
0.21,3.61341,-0.18129,1.75663
0.211,3.63058,0.0912072,1.77297
0.211,3.62901,-0.181564,1.76073
0.212,3.64617,0.0909329,1.77708
0.212,3.64459,-0.181838,1.76482
0.213,3.66174,0.0906584,1.78118
0.213,3.66016,-0.182112,1.76892
0.214,3.67731,0.0903837,1.78527
0.214,3.67572,-0.182386,1.773
0.215,3.69286,0.0901087,1.78937
0.215,3.69127,-0.18266,1.77709
0.216,3.7084,0.0898336,1.79346
0.216,3.7068,-0.182935,1.78117
0.217,3.72393,0.0895581,1.79755
0.217,3.72233,-0.18321,1.78525
0.218,3.73945,0.0892824,1.80163
0.218,3.73784,-0.183485,1.78932
0.219,3.75496,0.0890065,1.80572
0.219,3.75334,-0.183761,1.7934
0.22,3.77045,0.0887304,1.80979
0.22,3.76883,-0.184036,1.79747
0.221,3.78594,0.088454,1.81387
0.221,3.78431,-0.184312,1.80153
0.222,3.80141,0.0881774,1.81794
0.222,3.79978,-0.184588,1.8056
0.223,3.81687,0.0879005,1.82201
0.223,3.81523,-0.184865,1.80966
0.224,3.83232,0.0876235,1.82608
0.224,3.83068,-0.185141,1.81371
0.225,3.84775,0.0873461,1.83014
0.225,3.84611,-0.185418,1.81777
0.226,3.86318,0.0870686,1.8342
0.226,3.86153,-0.185695,1.82182
0.227,3.87859,0.0867908,1.83826
0.227,3.87694,-0.185973,1.82587
0.228,3.894,0.0865128,1.84232
0.228,3.89233,-0.18625,1.82991
0.229,3.90939,0.0862345,1.84637
0.229,3.90772,-0.186528,1.83395
0.23,3.92477,0.085956,1.85041
0.23,3.92309,-0.186806,1.83799
0.231,3.94014,0.0856773,1.85446
0.231,3.93846,-0.187084,1.84202
0.232,3.95549,0.0853984,1.8585
0.232,3.95381,-0.187363,1.84606
0.233,3.97084,0.0851192,1.86254
0.233,3.96915,-0.187641,1.85009
0.234,3.98617,0.0848398,1.86657
0.234,3.98448,-0.18792,1.85411
0.235,4.0015,0.0845601,1.87061
0.235,3.9998,-0.1882,1.85813
0.236,4.01681,0.0842803,1.87463
0.236,4.0151,-0.188479,1.86215
0.237,4.03211,0.0840001,1.87866
0.237,4.0304,-0.188759,1.86617
0.238,4.0474,0.0837198,1.88268
0.238,4.04568,-0.189038,1.87018
0.239,4.06268,0.0834392,1.8867
0.239,4.06095,-0.189319,1.87419
0.24,4.07794,0.0831584,1.89072
0.24,4.07622,-0.189599,1.8782
0.241,4.0932,0.0828774,1.89473
0.241,4.09147,-0.18988,1.8822
0.242,4.10844,0.0825961,1.89874
0.242,4.1067,-0.19016,1.8862
0.243,4.12368,0.0823146,1.90275
0.243,4.12193,-0.190441,1.8902
0.244,4.1389,0.0820329,1.90675
0.244,4.13715,-0.190723,1.89419
0.245,4.15411,0.081751,1.91075
0.245,4.15235,-0.191004,1.89818
0.246,4.16931,0.0814688,1.91474
0.246,4.16755,-0.191286,1.90217
0.247,4.1845,0.0811863,1.91874
0.247,4.18273,-0.191568,1.90615
0.248,4.19967,0.0809037,1.92273
0.248,4.1979,-0.19185,1.91013
0.249,4.21484,0.0806208,1.92671
0.249,4.21306,-0.192132,1.91411
0.25,4.23,0.0803377,1.9307
0.25,4.22821,-0.192415,1.91808
0.251,4.24514,0.0800544,1.93468
0.251,4.24335,-0.192698,1.92206
0.252,4.26027,0.0797708,1.93865
0.252,4.25848,-0.192981,1.92602
0.253,4.27539,0.079487,1.94263
0.253,4.27359,-0.193264,1.92999
0.254,4.2905,0.079203,1.9466
0.254,4.2887,-0.193548,1.93395
0.255,4.3056,0.0789187,1.95056
0.255,4.30379,-0.193832,1.93791
0.256,4.32069,0.0786343,1.95453
0.256,4.31887,-0.194116,1.94186
0.257,4.33577,0.0783496,1.95849
0.257,4.33395,-0.1944,1.94581
0.258,4.35084,0.0780646,1.96245
0.258,4.34901,-0.194684,1.94976
0.259,4.36589,0.0777794,1.9664
0.259,4.36406,-0.194969,1.9537
0.26,4.38094,0.077494,1.97035
0.26,4.3791,-0.195254,1.95765
0.261,4.39597,0.0772084,1.9743
0.261,4.39412,-0.195539,1.96158
0.262,4.41099,0.0769226,1.97824
0.262,4.40914,-0.195825,1.96552
0.263,4.42601,0.0766365,1.98218
0.263,4.42415,-0.19611,1.96945
0.264,4.44101,0.0763501,1.98612
0.264,4.43914,-0.196396,1.97338
