time,x,y,z
0.132,2.47672,-0.136439,1.2093
0.133,2.49449,0.136613,1.21123
0.133,2.49449,-0.136437,1.21133
0.134,2.51225,0.136614,1.21327
0.134,2.51225,-0.136436,1.21337
0.135,2.52999,0.136615,1.2153
0.135,2.53,-0.136435,1.21541
0.136,2.54772,0.136616,1.21734
0.136,2.54773,-0.136434,1.21744
0.137,2.56544,0.136617,1.21938
0.137,2.56545,-0.136433,1.21948
0.138,2.58315,0.136618,1.22142
0.138,2.58316,-0.136432,1.22151
0.139,2.60085,0.13662,1.22345
0.139,2.60085,-0.13643,1.22355
0.14,2.61853,0.136621,1.22549
0.14,2.61854,-0.136429,1.22559
0.141,2.6362,0.136622,1.22752
0.141,2.6362,-0.136428,1.22762
0.142,2.65385,0.136623,1.22956
0.142,2.65386,-0.136427,1.22965
0.143,2.6715,0.136624,1.2316
0.143,2.6715,-0.136426,1.23169
0.144,2.68913,0.136626,1.23363
0.144,2.68913,-0.136424,1.23372
0.145,2.70674,0.136627,1.23567
0.145,2.70675,-0.136423,1.23576
0.146,2.72435,0.136628,1.2377
0.146,2.72436,-0.136422,1.23779
0.147,2.74194,0.136629,1.23973
0.147,2.74195,-0.136421,1.23982
0.148,2.75952,0.13663,1.24176
0.148,2.75953,-0.13642,1.24185
0.149,2.77709,0.136632,1.2438
0.149,2.7771,-0.136418,1.24388
0.15,2.79464,0.136633,1.24583
0.15,2.79465,-0.136417,1.24591
0.151,2.81219,0.136634,1.24786
0.151,2.8122,-0.136416,1.24794
0.152,2.82972,0.136635,1.24989
0.152,2.82973,-0.136415,1.24997
0.153,2.84723,0.136636,1.25192
0.153,2.84724,-0.136414,1.252
0.154,2.86474,0.136638,1.25395
0.154,2.86475,-0.136412,1.25403
0.155,2.88223,0.136639,1.25597
0.155,2.88224,-0.136411,1.25605
0.156,2.89971,0.13664,1.258
0.156,2.89972,-0.13641,1.25808
0.157,2.91718,0.136641,1.26003
0.157,2.91719,-0.136409,1.2601
0.158,2.93463,0.136643,1.26205
0.158,2.93464,-0.136407,1.26213
0.159,2.95207,0.136644,1.26408
0.159,2.95208,-0.136406,1.26415
0.16,2.9695,0.136645,1.2661
0.16,2.96951,-0.136405,1.26617
0.161,2.98692,0.136646,1.26812
0.161,2.98693,-0.136404,1.26819
0.162,3.00433,0.136648,1.27014
0.162,3.00434,-0.136402,1.27021
0.163,3.02172,0.136649,1.27216
0.163,3.02173,-0.136401,1.27223
0.164,3.0391,0.13665,1.27418
0.164,3.03911,-0.1364,1.27425
0.165,3.05647,0.136651,1.2762
0.165,3.05648,-0.136399,1.27627
0.166,3.07382,0.136652,1.27822
0.166,3.07383,-0.136397,1.27828
0.167,3.09117,0.136654,1.28024
0.167,3.09118,-0.136396,1.2803
0.168,3.1085,0.136655,1.28225
0.168,3.10851,-0.136395,1.28231
0.169,3.12582,0.136656,1.28426
0.169,3.12583,-0.136394,1.28433
0.17,3.14312,0.136657,1.28628
0.17,3.14314,-0.136393,1.28634
0.171,3.16042,0.136659,1.28829
0.171,3.16043,-0.136391,1.28835
0.172,3.1777,0.13666,1.2903
0.172,3.17771,-0.13639,1.29036
0.173,3.19497,0.136661,1.29231
0.173,3.19498,-0.136389,1.29236
0.174,3.21223,0.136662,1.29432
0.174,3.21224,-0.136388,1.29437
0.175,3.22948,0.136664,1.29632
0.175,3.22949,-0.136386,1.29638
0.176,3.24671,0.136665,1.29833
0.176,3.24672,-0.136385,1.29838
0.177,3.26393,0.136666,1.30033
0.177,3.26395,-0.136384,1.30038
0.178,3.28114,0.136668,1.30234
0.178,3.28116,-0.136382,1.30239
0.179,3.29834,0.136669,1.30434
0.179,3.29835,-0.136381,1.30439
0.18,3.31553,0.13667,1.30634
0.18,3.31554,-0.13638,1.30639
0.181,3.3327,0.136671,1.30834
0.181,3.33271,-0.136379,1.30838
0.182,3.34986,0.136673,1.31033
0.182,3.34988,-0.136377,1.31038
0.183,3.36701,0.136674,1.31233
0.183,3.36703,-0.136376,1.31238
0.184,3.38415,0.136675,1.31433
0.184,3.38416,-0.136375,1.31437
0.185,3.40127,0.136676,1.31632
0.185,3.40129,-0.136374,1.31636
0.186,3.41839,0.136678,1.31831
0.186,3.4184,-0.136372,1.31835
0.187,3.43549,0.136679,1.3203
0.187,3.43551,-0.136371,1.32034
0.188,3.45258,0.13668,1.32229
0.188,3.4526,-0.13637,1.32233
0.189,3.46966,0.136681,1.32428
0.189,3.46968,-0.136369,1.32432
0.19,3.48673,0.136683,1.32627
0.19,3.48674,-0.136367,1.3263
