time,x,y,z
0.249,4.17687,0.136229,5.42889
0.249,4.17768,-0.136819,5.42807
0.25,4.19135,0.136226,5.4443
0.25,4.19216,-0.136822,5.44348
0.251,4.20581,0.136222,5.4597
0.251,4.20663,-0.136825,5.45887
0.252,4.22026,0.136219,5.47507
0.252,4.22108,-0.136829,5.47425
0.253,4.23469,0.136216,5.49043
0.253,4.23551,-0.136832,5.4896
0.254,4.24911,0.136212,5.50578
0.254,4.24993,-0.136835,5.50494
0.255,4.26352,0.136209,5.5211
0.255,4.26434,-0.136839,5.52027
0.256,4.2779,0.136205,5.53641
0.256,4.27873,-0.136842,5.53557
0.257,4.29228,0.136202,5.5517
0.257,4.2931,-0.136846,5.55086
0.258,4.30663,0.136198,5.56698
0.258,4.30746,-0.136849,5.56614
0.259,4.32097,0.136195,5.58224
0.259,4.32181,-0.136853,5.58139
0.26,4.3353,0.136191,5.59748
0.26,4.33614,-0.136856,5.59663
0.261,4.34961,0.136187,5.6127
0.261,4.35045,-0.13686,5.61185
0.262,4.36391,0.136184,5.62791
0.262,4.36475,-0.136864,5.62706
0.263,4.37819,0.13618,5.6431
0.263,4.37903,-0.136867,5.64225
0.264,4.39246,0.136177,5.65828
0.264,4.3933,-0.136871,5.65742
0.265,4.40671,0.136173,5.67343
0.265,4.40755,-0.136874,5.67257
0.266,4.42094,0.136169,5.68858
0.266,4.42179,-0.136878,5.68771
0.267,4.43517,0.136165,5.7037
0.267,4.43602,-0.136882,5.70283
0.268,4.44937,0.136162,5.71881
0.268,4.45022,-0.136886,5.71794
0.269,4.46356,0.136158,5.7339
0.269,4.46442,-0.136889,5.73302
0.27,4.47774,0.136154,5.74897
0.27,4.4786,-0.136893,5.7481
0.271,4.4919,0.13615,5.76403
0.271,4.49276,-0.136897,5.76315
0.272,4.50605,0.136146,5.77907
0.272,4.50691,-0.136901,5.77819
0.273,4.52018,0.136142,5.79409
0.273,4.52104,-0.136905,5.79321
0.274,4.53429,0.136139,5.8091
0.274,4.53516,-0.136909,5.80822
